img_no,x,y,z,img_x,img_y,l2_dlt,l2_opencv
85,1.8576489686965945,0.9680309295654296,0.4002651870250702,27.0,21.0,2.23606797749979,1.0
86,1.8350934982299805,0.9352580308914183,0.3997149169445038,29.0,21.0,2.23606797749979,0.0
87,1.8294612169265747,0.8760595917701721,0.4067694842815399,30.0,21.0,1.0,1.0
88,1.7254992723464966,0.8084063529968262,0.4022042453289032,32.0,20.0,1.0,1.0
89,1.7053852081298828,0.776062548160553,0.4080935418605804,33.0,19.0,2.23606797749979,1.0
90,1.7355217933654783,0.7670264840126038,0.4193872809410095,35.0,19.0,5.385164807134504,1.4142135623730951
91,1.6069868803024292,0.7220473885536194,0.4016021192073822,36.0,18.0,4.123105625617661,4.242640687119285
92,1.6274702548980713,0.6813653111457825,0.4119463860988617,36.0,18.0,4.123105625617661,3.0
93,1.618324637413025,0.6610953211784363,0.3743793964385986,37.0,18.0,6.082762530298219,1.0
94,1.6120270490646362,0.6495301127433777,0.3639895617961883,37.0,19.0,7.0,1.0
95,1.6332370042800903,0.635452389717102,0.3690814971923828,38.0,19.0,6.0,1.0
96,1.6420412063598633,0.633031964302063,0.3709723353385925,38.0,19.0,6.0,1.4142135623730951
97,1.666805863380432,0.6312881112098694,0.3848774433135986,39.0,19.0,3.0,1.0
98,1.6813856363296509,0.6278128027915955,0.3867972493171692,39.0,18.0,3.1622776601683795,1.4142135623730951
99,1.715794563293457,0.6007301807403564,0.4093252122402191,39.0,19.0,5.656854249492381,3.0
100,1.7641671895980835,0.5732120871543884,0.3880827128887176,41.0,19.0,3.605551275463989,3.605551275463989
101,1.7804468870162964,0.564579427242279,0.371881902217865,42.0,19.0,6.708203932499369,3.605551275463989
102,1.801599621772766,0.551863968372345,0.3591372370719909,43.0,20.0,7.280109889280518,3.605551275463989
103,3.280524969100952,0.7339633107185364,0.2933424413204193,55.0,28.0,7.810249675906654,3.0
104,3.271538257598877,0.7308257818222046,0.2932144701480865,55.0,28.0,7.810249675906654,3.0
105,3.2752034664154053,0.7752355337142944,0.2806533575057983,54.0,28.0,8.602325267042627,4.0
106,3.2562954425811768,0.8055461049079895,0.3123035132884979,54.0,28.0,7.071067811865476,3.1622776601683795
